sintomas,nombre,apellido,dni
13,Georgiana,Chastagnier,56-3200065
2,Natividad,Verna,68-8804753
0,Haily,Bernaert,79-7362179
13,Solomon,Pendlebury,79-9408465
5,Ephrayim,Mungan,62-0191932
6,Brier,Pitrollo,65-5940039
13,Carolynn,Scales,65-8253253
15,Kenny,Bevar,96-3984187
0,Violet,Tosdevin,90-4725819
4,Kylila,Danihelka,44-0590424
16,Bertina,Woolger,66-3700589
12,Taite,Friberg,07-1965591
0,Paton,Clancy,26-3906533
15,Conny,Woolatt,53-7254000
0,Stephani,Benedite,15-8870970
8,Rozella,McCreery,86-1499780
12,Nolana,Pepineaux,08-6631852
1,Leese,Ould,96-7623392
0,Jehu,Aulds,81-8462098
1,Valaria,Cowern,02-6592144
6,Emmaline,Yokley,08-4466875
2,Chauncey,Jentzsch,65-0744642
16,Allister,Doulton,34-4756868
4,Eudora,Soutar,67-3839677
16,Jerrylee,Emanuele,36-9165682
13,Carolynn,Meineken,17-4657395
11,Sari,Silvermann,61-9289820
6,Martita,Kinchley,46-6643813
5,Bette,Foston,90-8851024
6,Noelani,Quarrington,78-2507598
14,Claire,Symcoxe,64-4741891
15,Cindy,Shapcote,92-6240657
12,Coral,Casemore,29-6440432
0,Randie,Jorgensen,54-5393175
0,Granthem,Boarder,90-8201574
1,Noby,Endersby,36-8908088
10,Angel,Deary,89-1770049
13,Sue,Coveley,05-7121272
0,Noland,Caldeiro,77-8654075
2,Chiquita,Showering,05-1186747
14,Jervis,Heinssen,44-0706249
0,Padget,Tregensoe,66-4089908
13,Miguel,Flintoft,04-9939946
0,Ruddie,Strange,99-4691401
11,Prissie,Sykes,17-3572577
14,Serge,Mulberry,56-9405846
0,Faustina,Chicco,67-8433683
13,Nicholle,Harkus,13-5571304
13,Kayle,Delia,61-5241062
5,Tiler,Lewzey,31-0231093
8,Estele,Crease,02-1390666
7,Hoyt,Ivakhnov,91-4061520
9,Putnem,McCoy,08-3676807
7,Fiorenze,Denning,33-8141080
1,Opaline,Edmead,02-9494160
0,Traver,Northill,14-4936650
0,Hobart,Thebeaud,30-1906436
10,Cosetta,Inchcomb,08-7756462
15,Urbano,Lamers,32-5651546
0,Kathrine,Crosthwaite,79-3465043
11,Gabriel,Hubatsch,06-5782324
10,Avie,Pencot,21-6900613
0,Herve,Maylam,92-7167663
8,Merrile,Grestie,66-6881353
0,Barnett,MacCall,55-5226583
0,Nissie,Sweetzer,75-1653210
14,Barton,Sanchez,67-8739448
4,Aida,Sailor,27-2535042
16,Parnell,O'Corrane,27-3607576
4,Lura,Willicott,97-1239133
1,Pippa,Pigny,51-8636021
1,Cristy,Juggins,92-4967863
4,Ring,Ordish,01-6432145
7,Willyt,Morde,26-1509575
10,Gloriana,Alam,04-5543489
0,Valle,Embleton,29-2901109
13,Stacy,Deyes,81-8622946
4,Nessi,Manz,95-2025079
2,Diarmid,Tomaszewski,74-5610960
7,Bibby,Trainor,34-0910455
1,Bernie,Petrulis,53-6835183
5,Jeralee,Heasman,29-4376707
9,Jojo,Von Der Empten,08-4166897
14,Rockey,Bundock,95-7395855
6,Sheffie,Dyneley,03-0029060
1,Kali,Dykes,61-3103862
7,Kelcey,Algore,03-3477549
6,Henri,Rigden,52-4442500
0,Adeline,Dunklee,46-4587204
12,Felizio,Wrought,92-9176421
14,Jaquelyn,Gillingham,82-3466946
0,Morley,Clougher,51-5009741
5,Don,De Clairmont,83-4441140
0,Jennifer,McLaughlan,10-0660314
0,Nanny,Samsin,09-8549533
0,Gris,Mathan,91-1165651
0,Finn,McLachlan,93-5276996
15,Asher,Torra,99-0523782
0,Wilt,Handmore,01-8327234
3,Dill,Tommasetti,40-9420964
8,Domini,Malacrida,95-3786456
13,Teri,Yearnes,68-2745222
2,Carce,Burrows,60-6451704
12,Wilt,Gilleson,18-8643649
9,Oneida,Haacker,40-5912144
16,Brit,Blanchflower,88-9822047
14,Marjy,Sans,47-1405121
16,Ham,Scargle,99-2404934
16,Baillie,Olin,16-0811435
3,Barby,Johansson,47-9787079
16,Reeta,Scobbie,40-7015506
0,Innis,Guillerman,51-3490405
16,Oralle,Drescher,16-2506741
14,Nathanil,Whellams,03-5007833
8,Marysa,Vanyutin,61-4724861
10,Elysee,Yorke,76-8326814
6,Cherise,Mikalski,79-8005782
15,Sid,Wisniowski,50-7533523
0,Emelen,Petasch,83-5733900
15,Pate,Rehme,82-9520775
0,Hillier,Bonde,18-5319235
12,Zach,Rowles,03-3773341
5,Dillon,Ollivierre,07-2305089
7,Belle,Croose,79-8566601
4,Catharine,Mardle,02-1781015
10,Kessiah,Olyfat,26-5106443
0,Laraine,Simms,46-5192760
16,Crystal,Eicheler,03-3920091
11,Ly,Sollam,21-3387788
7,Edita,Sercombe,34-5333072
16,Rowland,Leadston,16-0175362
16,Ashleigh,Avramow,20-2726517
6,Luis,Hadwick,14-9330025
15,Cherilyn,Pignon,64-6753869
5,Alessandro,Franceschelli,66-8228665
8,Lissy,Mushart,08-4081160
15,Justus,Cutcliffe,17-8645072
16,Phaidra,Chaffey,66-3890944
15,Chrysler,Regina,22-6815369
8,Sheff,MacCague,35-4743412
12,Trev,Velde,12-6551283
0,Alvan,Pash,36-2782182
7,Stafford,Berryann,41-4558401
14,Brendan,Miller,72-7739917
16,Kinny,Geroldo,56-8865044
9,Morrie,Vinker,07-1144324
0,Jayme,Dranfield,30-4223019
9,Gabie,Reddan,81-9607726
8,Sarene,Attenborrow,85-9654706
9,Frannie,Dimitresco,25-1215097
13,Kristy,Christophle,23-8956148
8,Ofella,Bertelet,99-3510445
1,Quincey,Postlewhite,98-1277765
3,Constance,Alldread,31-6281235
8,Lodovico,Beartup,16-8316792
14,Tresa,Gordon-Giles,57-3911542
0,Wyn,Swayte,67-6039804
4,Artemus,Surmeyers,56-3927480
5,Maddy,Glancy,72-3862786
7,Ricard,Cridge,50-3275709
7,Celka,Amberg,43-0583072
0,Guilbert,Maxwaile,20-2624643
3,Amara,Sinson,32-2146780
14,Powell,Kettridge,76-4424550
11,Ernestus,Maevela,39-6008672
4,Vidovic,Sandford,98-5802100
10,Lazar,Benning,74-4008644
16,Aeriell,Lodin,33-4791935
1,Ruthi,Hasard,53-2847289
15,Reagan,Szymanski,88-4110765
16,Pavla,Hurburt,03-6654665
7,Carlen,Willans,59-9704708
